id	evidence_type	path	fault	expected	evidence_key
SAGA-REFUND-RESULT-ORDER-SUCCEEDED	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/kafka/OrderCompensationRefundIntegrationTest.java	payment.refunded(result=SUCCEEDED) 가 OPEN 원장에 도착	{"outcome":"passed"}	com.peekcart.order.infrastructure.kafka.OrderCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-ORDER-SUCCEEDED
SAGA-REFUND-RESULT-ORDER-FAILED	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/kafka/OrderCompensationRefundIntegrationTest.java	payment.refunded(result=FAILED, failureCode) 가 OPEN 원장에 도착	{"outcome":"passed"}	com.peekcart.order.infrastructure.kafka.OrderCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-ORDER-FAILED
SAGA-REFUND-RESULT-ORDER-UNRESOLVED	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/kafka/OrderCompensationRefundIntegrationTest.java	payment.refunded(result=UNRESOLVED) 가 OPEN 원장에 도착	{"outcome":"passed"}	com.peekcart.order.infrastructure.kafka.OrderCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-ORDER-UNRESOLVED
SAGA-REFUND-RESULT-PRODUCT-SUCCEEDED	jvm	product-service/src/test/java/com/peekcart/product/application/StockCompensationRefundIntegrationTest.java	payment.refunded(result=SUCCEEDED) 가 감지 marker 가 있는 예약에 도착	{"outcome":"passed"}	com.peekcart.product.application.StockCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-PRODUCT-SUCCEEDED
SAGA-REFUND-RESULT-PRODUCT-FAILED	jvm	product-service/src/test/java/com/peekcart/product/application/StockCompensationRefundIntegrationTest.java	payment.refunded(result=FAILED, failureCode) 가 감지 marker 가 있는 예약에 도착	{"outcome":"passed"}	com.peekcart.product.application.StockCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-PRODUCT-FAILED
SAGA-REFUND-RESULT-PRODUCT-UNRESOLVED	jvm	product-service/src/test/java/com/peekcart/product/application/StockCompensationRefundIntegrationTest.java	payment.refunded(result=UNRESOLVED) 가 감지 marker 가 있는 예약에 도착	{"outcome":"passed"}	com.peekcart.product.application.StockCompensationRefundIntegrationTest#SAGA-REFUND-RESULT-PRODUCT-UNRESOLVED
SAGA-REFUND-RESULT-NOTIFICATION-SUCCEEDED	jvm	notification-service/src/test/java/com/peekcart/notification/infrastructure/kafka/NotificationConsumerIntegrationTest.java	payment.refunded(result=SUCCEEDED) 소비	{"outcome":"passed"}	com.peekcart.notification.infrastructure.kafka.NotificationConsumerIntegrationTest#SAGA-REFUND-RESULT-NOTIFICATION-SUCCEEDED
SAGA-REFUND-RESULT-NOTIFICATION-FAILED	jvm	notification-service/src/test/java/com/peekcart/notification/infrastructure/kafka/NotificationConsumerIntegrationTest.java	payment.refunded(result=FAILED) 소비	{"outcome":"passed"}	com.peekcart.notification.infrastructure.kafka.NotificationConsumerIntegrationTest#SAGA-REFUND-RESULT-NOTIFICATION-FAILED
SAGA-REFUND-RESULT-NOTIFICATION-UNRESOLVED	jvm	notification-service/src/test/java/com/peekcart/notification/infrastructure/kafka/NotificationConsumerIntegrationTest.java	payment.refunded(result=UNRESOLVED) 소비	{"outcome":"passed"}	com.peekcart.notification.infrastructure.kafka.NotificationConsumerIntegrationTest#SAGA-REFUND-RESULT-NOTIFICATION-UNRESOLVED
SAGA-REFUND-CRASH-A	jvm	payment-service/src/test/java/com/peekcart/payment/application/RefundLedgerIntegrationTest.java	claim 커밋 후 PG 호출 전 사망 — claimed_at 이 lease 임계를 넘긴 CLAIMED 상태로 관측	{"outcome":"passed"}	com.peekcart.payment.application.RefundLedgerIntegrationTest#SAGA-REFUND-CRASH-A
SAGA-REFUND-CRASH-B	jvm	payment-service/src/test/java/com/peekcart/payment/infrastructure/toss/RefundExecutorTest.java	PG 취소 성공 후 로컬 커밋 전 사망 — 재개 시 PG 에는 이미 취소가 반영돼 있음	{"outcome":"passed"}	com.peekcart.payment.infrastructure.toss.RefundExecutorTest#SAGA-REFUND-CRASH-B
SAGA-REFUND-CRASH-C	jvm	payment-service/src/test/java/com/peekcart/payment/infrastructure/toss/RefundExecutorTest.java	PG 호출 타임아웃/응답 유실이 재시도 상한까지 반복	{"outcome":"passed"}	com.peekcart.payment.infrastructure.toss.RefundExecutorTest#SAGA-REFUND-CRASH-C
SAGA-REFUND-CRASH-D	jvm	payment-service/src/test/java/com/peekcart/payment/infrastructure/kafka/CompensationRequestConsumerIntegrationTest.java	진입점이 REQUESTED 커밋 직후 사망 — 진입점은 PG 를 호출하지 않는다	{"outcome":"passed"}	com.peekcart.payment.infrastructure.kafka.CompensationRequestConsumerIntegrationTest#SAGA-REFUND-CRASH-D
SAGA-REFUND-FENCE-CONVERGE	jvm	payment-service/src/test/java/com/peekcart/payment/infrastructure/kafka/CompensationRequestConsumerIntegrationTest.java	요청 2경로 + 로컬 감지가 순서 무관하게 같은 주문에 도착	{"outcome":"passed"}	com.peekcart.payment.infrastructure.kafka.CompensationRequestConsumerIntegrationTest#SAGA-REFUND-FENCE-CONVERGE
SAGA-TIMEOUT-PAYMENT-PENDING	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/scheduler/OrderTimeoutSchedulerTest.java	결제 대기 상한을 넘긴 주문이 존재	{"outcome":"passed"}	com.peekcart.order.infrastructure.scheduler.OrderTimeoutSchedulerTest#SAGA-TIMEOUT-PAYMENT-PENDING
SAGA-TIMEOUT-UNCONFIRMED-RESERVATION	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/scheduler/OrderTimeoutSchedulerTest.java	예약 확정·결제 미시작 PENDING 이 수명 상한을 넘김	{"outcome":"passed"}	com.peekcart.order.infrastructure.scheduler.OrderTimeoutSchedulerTest#SAGA-TIMEOUT-UNCONFIRMED-RESERVATION
SAGA-TIMEOUT-LEASE-EXPIRED	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/scheduler/OrderTimeoutSchedulerTest.java	예약 lease 가 만료된 주문이 존재	{"outcome":"passed"}	com.peekcart.order.infrastructure.scheduler.OrderTimeoutSchedulerTest#SAGA-TIMEOUT-LEASE-EXPIRED
SAGA-TIMEOUT-OPTIMISTIC-LOSS	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/scheduler/OrderTimeoutSchedulerTest.java	타임아웃 취소와 결제 완료가 같은 주문에 경합 — 낙관 락 충돌	{"outcome":"passed"}	com.peekcart.order.infrastructure.scheduler.OrderTimeoutSchedulerTest#SAGA-TIMEOUT-OPTIMISTIC-LOSS
SAGA-SWEEPER-LEASE-RECLAIM	jvm	product-service/src/test/java/com/peekcart/product/application/StockReservationLeaseSweepTest.java	만료 + 유예를 넘긴 예약이 남아 있음	{"outcome":"passed"}	com.peekcart.product.application.StockReservationLeaseSweepTest#SAGA-SWEEPER-LEASE-RECLAIM
SAGA-SWEEPER-CAS-LOSS	jvm	product-service/src/test/java/com/peekcart/product/application/StockReservationLeaseSweepTest.java	sweeper 회수와 동시 release 가 경합 — CAS 패자	{"outcome":"passed"}	com.peekcart.product.application.StockReservationLeaseSweepTest#SAGA-SWEEPER-CAS-LOSS
SAGA-SCHEDULER-WIRING-ORDER	jvm	order-service/src/test/java/com/peekcart/order/infrastructure/scheduler/OrderSchedulerWiringIntegrationTest.java	@Scheduled 배선 제거 — 실제 Spring scheduling 발화 없이 DB 상태가 바뀌지 않음	{"outcome":"passed"}	com.peekcart.order.infrastructure.scheduler.OrderSchedulerWiringIntegrationTest#SAGA-SCHEDULER-WIRING-ORDER
SAGA-SCHEDULER-WIRING-PRODUCT	jvm	product-service/src/test/java/com/peekcart/product/application/StockSchedulerWiringIntegrationTest.java	@Scheduled 배선 제거 — 실제 Spring scheduling 발화 없이 DB 상태가 바뀌지 않음	{"outcome":"passed"}	com.peekcart.product.application.StockSchedulerWiringIntegrationTest#SAGA-SCHEDULER-WIRING-PRODUCT
