DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2026-04-09 13:32:06,50,180,0,798.328,600.35,90,738.094,66428.5,0,0,45.633,732.778,GET /api/v1/products (list),140,0,777.186,595.408,70,887.029,62092,0,0,46.986,684.421,GET /api/v1/products/{id} (detail),40,0,872.325,611.606,20,216.825,4336.5,0,0,40.9,902.025
2026-04-09 13:32:08,50,263,0,397.274,243.693,131.5,597.323,78548,0,0,2.224,388.711,GET /api/v1/products (list),215,0,398.265,248.235,107.5,682.228,73339.5,0,0,2.181,386.707,GET /api/v1/products/{id} (detail),48,0,392.833,222.161,24,217.021,5208.5,0,0,2.417,397.688
2026-04-09 13:32:10,50,332,0,307.569,182.51,166,619.877,102899.5,0,0,1.765,300.699,GET /api/v1/products (list),265,0,293.419,185.113,132.5,721.925,95655,0,0,1.725,280.808,GET /api/v1/products/{id} (detail),67,0,363.537,160.002,33.5,216.254,7244.5,0,0,1.925,379.373
2026-04-09 13:32:12,50,351,0,287.493,188.188,175.5,757.53,132946.5,0,0,1.513,283.313,GET /api/v1/products (list),290,0,274.314,186.243,145,871.386,126351,0,0,1.469,276.079,GET /api/v1/products/{id} (detail),61,0,350.148,184.728,30.5,216.246,6595.5,0,0,1.721,317.705
2026-04-09 13:32:14,50,397,0,254.662,151.037,198.5,705.511,140044,0,0,1.285,249.234,GET /api/v1/products (list),308,0,245.656,151.522,154,846.938,130428.5,0,0,1.292,235.448,GET /api/v1/products/{id} (detail),89,0,285.831,145.095,44.5,216.079,9615.5,0,0,1.258,296.944
2026-04-09 13:32:16,50,423,0,234.348,139.107,211.5,706.033,149326,0,0,1.303,230.411,GET /api/v1/products (list),343,0,230.953,139.368,171.5,820.201,140664.5,0,0,1.315,231.236,GET /api/v1/products/{id} (detail),80,0,248.9,137.032,40,216.537,8661.5,0,0,1.25,226.875
2026-04-09 13:32:18,50,477,0,210.897,134.298,238.5,705.285,168210.5,0,0,1.306,207.214,GET /api/v1/products (list),396,0,205.619,134.869,198,805.192,159428,0,0,1.192,210.576,GET /api/v1/products/{id} (detail),81,0,236.704,128.387,40.5,216.852,8782.5,0,0,1.864,190.778
2026-04-09 13:32:20,50,480,0,209.89,138.59,240,645.227,154854.5,0,0,0.996,207.319,GET /api/v1/products (list),377,0,203.849,137.893,188.5,762.326,143698.5,0,0,0.989,216.419,GET /api/v1/products/{id} (detail),103,0,232,138.89,51.5,216.621,11156,0,0,1.019,174.01
2026-04-09 13:32:22,50,567,0,176.961,123.806,283.5,661.496,187534,0,0,0.991,174.556,GET /api/v1/products (list),460,0,164.18,118.715,230,764.948,175938,0,0,0.972,165.113,GET /api/v1/products/{id} (detail),107,0,231.907,130.056,53.5,216.748,11596,0,0,1.075,215.15
2026-04-09 13:32:24,50,595,0,168.138,114.484,297.5,653.425,194394,0,0,0.978,165.618,GET /api/v1/products (list),473,0,157.015,112.227,236.5,766.256,181219.5,0,0,0.973,157.328,GET /api/v1/products/{id} (detail),122,0,211.262,112.921,61,215.975,13174.5,0,0,1,197.762
