DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte,Description,Tests-1,Errors-1,Mean_Test_Time_(ms)-1,Test_Time_Standard_Deviation_(ms)-1,TPS-1,Mean_response_length-1,Response_bytes_per_second-1,Response_errors-1,Mean_time_to_resolve_host-1,Mean_time_to_establish_connection-1,Mean_time_to_first_byte-1,Description,Tests-2,Errors-2,Mean_Test_Time_(ms)-2,Test_Time_Standard_Deviation_(ms)-2,TPS-2,Mean_response_length-2,Response_bytes_per_second-2,Response_errors-2,Mean_time_to_resolve_host-2,Mean_time_to_establish_connection-2,Mean_time_to_first_byte-2
2026-04-09 13:16:03,50,454,0,200.502,114.024,227,712.883,161824.5,0,0,24.868,175.899,GET /api/v1/products (list),373,0,204.386,116.032,186.5,820.673,153055.5,0,0,26.198,177.236,GET /api/v1/products/{id} (detail),81,0,182.617,102.393,40.5,216.519,8769,0,0,18.741,169.741
2026-04-09 13:16:05,50,656,0,186.684,84.043,328,691.567,226834,0,0,4.043,185.909,GET /api/v1/products (list),519,0,188.896,84.556,259.5,816.902,211986,0,0,4.037,185.395,GET /api/v1/products/{id} (detail),137,0,178.307,81.527,68.5,216.759,14848,0,0,4.066,187.854
2026-04-09 13:16:07,50,511,0,196.186,109.671,255.5,672.196,171746,0,0,1.994,195.376,GET /api/v1/products (list),410,0,204.002,111.42,205,784.461,160814.5,0,0,2.039,208.144,GET /api/v1/products/{id} (detail),101,0,164.455,95.93,50.5,216.465,10931.5,0,0,1.812,143.545
2026-04-09 13:16:09,50,517,0,189.95,100.238,258.5,631.008,163115.5,0,0,1.484,189.528,GET /api/v1/products (list),405,0,194.422,100.609,202.5,745.652,150994.5,0,0,1.479,193.244,GET /api/v1/products/{id} (detail),112,0,173.777,97.18,56,216.446,12121,0,0,1.5,176.089
2026-04-09 13:16:11,50,531,0,190.701,99.334,265.5,620.049,164623,0,0,1.433,190.409,GET /api/v1/products (list),405,0,193.467,101.623,202.5,745.523,150968.5,0,0,1.454,192.353,GET /api/v1/products/{id} (detail),126,0,181.81,91.021,63,216.738,13654.5,0,0,1.365,184.159
2026-04-09 13:16:13,50,524,0,190.298,103.462,262,693.143,181603.5,0,0,1.261,189.895,GET /api/v1/products (list),432,0,192.861,101.194,216,794.664,171647.5,0,0,1.292,195.59,GET /api/v1/products/{id} (detail),92,0,178.261,112.732,46,216.435,9956,0,0,1.12,163.152
2026-04-09 13:16:15,50,522,0,192.824,102.553,261,696.623,181818.5,0,0,1.115,192.379,GET /api/v1/products (list),426,0,192.624,101.144,213,804.808,171424,0,0,1.096,189.833,GET /api/v1/products/{id} (detail),96,0,193.708,108.581,48,216.552,10394.5,0,0,1.198,203.677
2026-04-09 13:16:17,50,536,0,186.263,94.213,268,607.071,162695,0,0,1.308,185.86,GET /api/v1/products (list),418,0,184.246,92.437,209,717.278,149911,0,0,1.318,186.041,GET /api/v1/products/{id} (detail),118,0,193.407,99.926,59,216.678,12784,0,0,1.271,185.22
2026-04-09 13:16:19,50,526,0,188.365,97.187,263,675.757,177724,0,0,0.994,188.034,GET /api/v1/products (list),426,0,189.336,99.052,213,783.54,166894,0,0,1.014,184.122,GET /api/v1/products/{id} (detail),100,0,184.23,88.683,50,216.6,10830,0,0,0.91,204.7
2026-04-09 13:16:21,50,526,0,188.433,103.353,263,646.397,170002.5,0,0,0.781,188.002,GET /api/v1/products (list),413,0,185.746,103.748,206.5,763.923,157750,0,0,0.785,186.84,GET /api/v1/products/{id} (detail),113,0,198.257,101.291,56.5,216.858,12252.5,0,0,0.77,192.248
2026-04-09 13:16:23,50,529,0,190.87,102.176,264.5,637.049,168499.5,0,0,0.985,190.399,GET /api/v1/products (list),419,0,189.833,95.155,209.5,747.516,156604.5,0,0,0.981,183.193,GET /api/v1/products/{id} (detail),110,0,194.818,125.289,55,216.273,11895,0,0,1,217.845
